t_s,dt_s,S_max,excess_max,r_max_m,z_deepest_m,seabed_footprint_m2,dilution_min,max_divergence
0.1,0.0528,36.8065,0.1333,0.000,0.000,0.00,185.804,3.56e-16
20.0,0.0528,37.5615,1.0543,0.000,0.000,0.00,23.610,2.09e-16
40.1,0.0528,37.5615,1.0543,0.000,0.000,0.00,23.610,2.31e-16
60.0,0.0528,37.5615,1.0543,0.000,0.000,0.00,23.610,3.00e-16
80.1,0.0528,37.5615,1.0543,0.000,0.000,0.00,23.610,3.29e-16
100.0,0.0528,37.5615,1.0543,0.000,0.000,0.00,23.610,3.75e-16
120.1,0.0528,37.5615,1.0543,0.000,0.000,0.00,23.610,2.86e-16
140.0,0.0528,37.5615,1.0543,0.000,0.000,0.00,23.610,2.68e-16
160.1,0.0528,37.5615,1.0543,0.000,0.000,0.00,23.610,2.37e-16
180.0,0.0528,37.5615,1.0543,0.000,0.000,0.00,23.610,2.43e-16
200.0,0.0528,37.5615,1.0543,0.000,0.000,0.00,23.610,1.98e-16
220.0,0.0528,37.5615,1.0544,0.000,0.000,0.00,23.610,2.62e-16
240.0,0.0528,37.5615,1.0543,0.000,0.000,0.00,23.610,2.85e-16
260.0,0.0528,37.5615,1.0543,0.000,0.000,0.00,23.610,3.10e-16
280.0,0.0528,37.5615,1.0543,0.000,0.000,0.00,23.610,3.72e-16
