t_s,dt_s,S_max,excess_max,r_max_m,z_deepest_m,seabed_footprint_m2,dilution_min,max_divergence
0.1,0.0840,35.8031,0.2146,0.000,0.000,0.00,146.358,2.63e-15
25.0,0.0840,36.5517,1.0015,27.529,23.558,2293.27,31.403,1.17e-16
50.1,0.0840,36.5517,1.0054,35.555,23.558,3245.19,31.288,1.85e-16
75.0,0.0840,36.5517,1.0030,44.922,23.558,3937.50,31.364,1.26e-16
100.1,0.0840,36.5517,1.0013,53.495,24.519,4586.54,31.410,1.71e-16
125.0,0.0840,36.5517,1.0009,59.706,24.519,4911.06,31.422,2.62e-16
150.1,0.0840,36.5517,1.0011,62.830,24.519,4997.60,31.416,3.86e-16
175.0,0.0840,36.5517,1.0010,72.060,24.519,4759.62,31.418,4.62e-16
200.1,0.0840,36.5517,1.0024,79.065,24.519,4348.56,31.381,6.87e-16
225.0,0.0840,36.5517,1.0015,51.009,24.519,3591.35,31.411,9.09e-16
250.0,0.0840,36.5517,0.9987,50.703,24.519,3418.27,31.492,8.58e-16
275.0,0.0840,36.5517,0.9967,56.464,24.519,3375.00,31.555,9.52e-16
300.0,0.0840,36.5517,0.9961,51.009,23.558,2790.87,31.574,7.84e-16
325.1,0.0840,36.5517,0.9935,44.035,23.558,2725.96,31.655,8.26e-16
350.0,0.0840,36.5517,0.9943,35.668,23.558,2682.69,31.630,6.86e-16
375.1,0.0840,36.5517,0.9925,41.051,23.558,2639.42,31.679,7.27e-16
400.0,0.0840,36.5517,0.9922,37.780,23.558,2596.15,31.689,6.80e-16
425.1,0.0840,36.5517,0.9920,37.780,23.558,2661.06,31.695,6.69e-16
450.0,0.0840,36.5517,0.9923,42.730,23.558,2812.50,31.687,6.30e-16
475.1,0.0840,36.5517,0.9942,47.206,23.558,3007.21,31.634,4.60e-16
500.0,0.0840,36.5517,0.9927,44.127,23.558,3158.65,31.673,4.25e-16
525.1,0.0840,36.5517,0.9859,46.813,24.519,3656.25,31.892,5.27e-16
550.0,0.0840,36.5517,0.9886,51.542,24.519,3959.13,31.806,6.13e-16
575.1,0.0840,36.5517,0.9857,55.988,24.519,4045.67,31.897,5.53e-16
600.0,0.0840,36.5517,0.9893,58.423,24.519,4088.94,31.782,5.00e-16
