x_m,z_above_nozzle_m
0.000,0.000
0.180,0.392
0.359,0.784
0.539,1.175
0.718,1.567
0.898,1.959
1.077,2.351
1.257,2.742
1.436,3.134
1.616,3.526
1.795,3.918
1.975,4.309
2.154,4.701
2.334,5.093
2.513,5.485
2.693,5.877
2.872,6.268
3.052,6.412
3.231,6.384
3.411,6.331
3.590,6.253
3.770,6.150
3.949,6.021
4.129,5.868
4.308,5.689
4.488,5.485
4.667,5.257
4.847,5.003
5.026,4.724
5.206,4.420
5.385,4.091
5.565,3.736
5.744,3.357
5.924,2.953
6.103,2.523
6.283,2.069
6.462,1.589
6.642,1.085
6.821,0.555
7.001,0.000
