distance_m,core_depth_below_surface_m,layer_top_depth_below_surface_m,layer_thickness_m,peak_excess_gkg
2.81,18.75,0.48,23.08,0.8782
8.58,18.75,0.48,23.08,0.8727
14.35,20.67,0.48,23.08,0.8613
20.11,22.60,0.48,23.08,0.8409
25.88,23.56,0.48,23.08,0.7994
31.65,23.56,0.48,23.08,0.7083
37.42,24.52,0.48,24.04,0.5992
43.19,24.52,0.48,24.04,0.5550
48.96,24.52,0.48,24.04,0.4486
54.73,21.63,0.48,24.04,0.2846
60.50,21.63,0.48,24.04,0.1907
66.27,24.52,0.48,24.04,0.1333
72.04,24.52,0.48,24.04,0.0926
77.81,0.48,0.48,22.12,0.0742
83.58,0.48,0.48,8.65,0.0780
89.35,0.48,0.48,11.54,0.0822
95.11,0.48,0.48,11.54,0.0863
100.88,0.48,0.48,10.58,0.0896
106.65,0.48,0.48,9.62,0.0906
112.42,0.48,0.48,7.69,0.0895
118.19,0.48,0.48,6.73,0.0869
123.96,0.48,0.48,6.73,0.0849
129.73,0.48,0.48,5.77,0.0845
135.50,0.48,0.48,5.77,0.0839
141.27,0.48,0.48,4.81,0.0863
147.04,0.48,0.48,4.81,0.0973
152.81,0.48,0.48,4.81,0.1131
158.58,0.48,0.48,3.85,0.1166
164.35,0.48,0.48,3.85,0.1084
170.11,0.48,0.48,4.81,0.0964
175.88,0.48,0.48,4.81,0.0958
181.65,0.48,0.48,4.81,0.0993
187.42,0.48,0.48,5.77,0.1039
193.19,0.48,0.48,6.73,0.1074
198.96,0.48,0.48,8.65,0.1092
204.73,0.48,0.48,10.58,0.1098
210.50,0.48,0.48,10.58,0.1095
216.27,0.48,0.48,10.58,0.1068
222.04,0.48,0.48,9.62,0.1008
227.81,0.48,0.48,9.62,0.0866
