offset_y_m,excess_gkg,dilution
-58.12,0.1196,262.62
-54.38,0.1080,290.95
-50.62,0.1036,303.25
-46.88,0.1021,307.80
-43.12,0.0991,317.12
-39.38,0.0966,325.21
-35.62,0.1029,305.23
-31.88,0.1346,233.30
-28.12,0.2280,137.75
-24.38,0.4588,68.47
-20.62,0.7726,40.66
-16.88,0.8381,37.48
-13.12,0.8404,37.37
-9.38,0.8405,37.37
-5.62,0.8405,37.37
-1.88,0.8405,37.37
1.88,0.8405,37.37
5.62,0.8405,37.37
9.38,0.8405,37.37
13.12,0.8404,37.38
16.88,0.8378,37.49
20.62,0.7995,39.29
24.38,0.6332,49.61
28.12,0.3896,80.63
31.88,0.2180,144.12
35.62,0.1324,237.28
39.38,0.0857,366.35
43.12,0.0544,577.58
46.88,0.0307,1021.67
50.62,0.0123,2561.73
54.38,0.0000,
58.12,0.0000,
