station,distance_m,depth_m,salinity_gkg,excess_gkg,dilution,density_kgm3,temperature_C
S1_diffuser,2.8,23.56,36.429,0.8405,37.37,1026.38,18.11
S1_diffuser,2.8,22.60,36.429,0.8482,37.04,1026.38,18.11
S1_diffuser,2.8,21.63,36.429,0.8559,36.72,1026.38,18.11
S1_diffuser,2.8,20.67,36.429,0.8636,36.40,1026.38,18.11
S1_diffuser,2.8,19.71,36.429,0.8713,36.09,1026.38,18.11
S1_diffuser,2.8,18.75,36.428,0.8782,35.81,1026.38,18.11
S1_diffuser,2.8,17.79,36.407,0.8644,36.39,1026.37,18.11
S1_diffuser,2.8,16.83,36.289,0.7540,41.73,1026.33,18.16
S1_diffuser,2.8,15.87,36.103,0.5764,54.60,1026.23,18.29
S1_diffuser,2.8,14.90,35.951,0.4316,72.94,1026.11,18.49
S1_diffuser,2.8,13.94,35.836,0.3248,96.96,1025.97,18.73
S1_diffuser,2.8,12.98,35.745,0.2410,130.66,1025.84,18.96
S1_diffuser,2.8,12.02,35.673,0.1771,177.84,1025.73,19.14
S1_diffuser,2.8,11.06,35.619,0.1305,241.52,1025.63,19.29
S1_diffuser,2.8,10.10,35.575,0.0945,333.67,1025.55,19.43
S1_diffuser,2.8,9.13,35.538,0.0652,483.87,1025.47,19.57
S1_diffuser,2.8,8.17,35.509,0.0433,728.69,1025.40,19.71
S1_diffuser,2.8,7.21,35.487,0.0292,1079.53,1025.34,19.83
S1_diffuser,2.8,6.25,35.472,0.0224,1409.27,1025.29,19.96
S1_diffuser,2.8,5.29,35.463,0.0208,1515.42,1025.25,20.09
S1_diffuser,2.8,4.33,35.458,0.0238,1328.68,1025.21,20.22
S1_diffuser,2.8,3.37,35.458,0.0308,1025.99,1025.19,20.32
S1_diffuser,2.8,2.40,35.461,0.0413,764.05,1025.17,20.38
S1_diffuser,2.8,1.44,35.465,0.0533,592.40,1025.16,20.41
S1_diffuser,2.8,0.48,35.468,0.0643,491.23,1025.16,20.42
S2_25m,25.9,23.56,36.388,0.7994,39.29,1026.31,18.16
S2_25m,25.9,22.60,36.351,0.7701,40.80,1026.25,18.25
