t_s,dt_s,S_max,excess_max,r_max_m,z_deepest_m,seabed_footprint_m2,dilution_min,max_divergence
0.1,0.1360,36.3548,0.1994,0.000,0.000,0.00,144.737,3.88e-16
60.1,0.1360,36.7470,0.7395,0.000,0.000,0.00,39.204,1.97e-16
120.1,0.1360,36.7470,0.7395,0.000,0.000,0.00,39.204,2.07e-16
180.1,0.1360,36.7470,0.7395,0.000,0.000,0.00,39.204,1.93e-16
240.1,0.1360,36.7470,0.7395,0.000,0.000,0.00,39.204,2.53e-16
300.0,0.1360,36.7470,0.7395,0.000,0.000,0.00,39.204,3.14e-16
360.0,0.1360,36.7470,0.7395,0.000,0.000,0.00,39.204,3.37e-16
420.0,0.1360,36.7470,0.7395,0.000,0.000,0.00,39.204,4.25e-16
480.1,0.1360,36.7470,0.7395,0.000,0.000,0.00,39.204,4.60e-16
540.1,0.1360,36.7470,0.7395,0.000,0.000,0.00,39.205,4.47e-16
600.1,0.1360,36.7470,0.7394,0.000,0.000,0.00,39.212,3.71e-16
